1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
,,,,,,,,,,,,,,,,,,,,81.84%,,,,,,,,69.39%,,,,,,
,,,,,,,,,,,,,,,,,,,,82.81%,,,,,,,,69.41%,,,,,,
,,,,,,,,,,,,,,,,,,,,82.84%,,,,,,,,69.43%,,,,,,
,,,,,,,,,,,,,,,,,,,,82.87%,,,,,,,,69.46%,,,,,,
,,,,,,,,,,,,,,,,,,,,82.89%,,,,,,,,69.48%,,,,,,
,,,,,,,,,,,,,,,,,,,,82.92%,,,,,,,,69.51%,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.53%,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.55%,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.80%,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.83%,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.23%,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.27%,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.38%,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.94%,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.96%,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.05%,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.36%,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.43%,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.45%,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.37%,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.14%,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.19%,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.22%,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.24%,,,,,,
