Distribution,Film NO.,,
62.39%,32 ,,
62.41%,32 ,,
62.58%,32 ,,
62.62%,32 ,,
77.00%,32 ,,
77.11%,32 ,,
89.45%,32 ,,
,33 ,,Aladdin (2019)
4.68%,34 ,,Spider-Man: No Way Home (2021)
4.78%,34 ,,
4.79%,34 ,,
4.85%,34 ,,
4.86%,34 ,,
4.90%,34 ,,
4.92%,34 ,,
5.02%,34 ,,
8.56%,34 ,,
9.88%,34 ,,
9.90%,34 ,,
9.93%,34 ,,
9.95%,34 ,,
10.19%,34 ,,
10.50%,34 ,,
11.11%,34 ,,
11.15%,34 ,,
11.58%,34 ,,
11.61%,34 ,,
11.94%,34 ,,
12.18%,34 ,,
12.23%,34 ,,
13.15%,34 ,,
13.17%,34 ,,
13.19%,34 ,,
13.21%,34 ,,
13.29%,34 ,,
13.34%,34 ,,
13.43%,34 ,,
13.45%,34 ,,
13.48%,34 ,,
13.60%,34 ,,
13.61%,34 ,,
14.49%,34 ,,
14.58%,34 ,,
14.70%,34 ,,
14.72%,34 ,,
14.74%,34 ,,
14.76%,34 ,,
14.83%,34 ,,
15.02%,34 ,,
15.08%,34 ,,
25.26%,34 ,,
25.31%,34 ,,
25.34%,34 ,,
25.36%,34 ,,
25.52%,34 ,,
25.61%,34 ,,
26.02%,34 ,,
26.09%,34 ,,
26.53%,34 ,,
26.59%,34 ,,
26.77%,34 ,,
26.99%,34 ,,
27.40%,34 ,,
27.42%,34 ,,
27.48%,34 ,,
27.52%,34 ,,
27.53%,34 ,,
29.51%,34 ,,
31.56%,34 ,,
31.75%,34 ,,
31.94%,34 ,,
32.36%,34 ,,
32.37%,34 ,,
32.39%,34 ,,
35.35%,34 ,,
37.64%,34 ,,
40.45%,34 ,,
41.49%,34 ,,
41.60%,34 ,,
41.93%,34 ,,
42.02%,34 ,,
56.02%,34 ,,
56.32%,34 ,,
56.47%,34 ,,
56.52%,34 ,,
56.54%,34 ,,
56.64%,34 ,,
56.69%,34 ,,
56.97%,34 ,,
57.31%,34 ,,
57.36%,34 ,,
57.39%,34 ,,
58.28%,34 ,,
58.41%,34 ,,
58.45%,34 ,,
58.49%,34 ,,
64.23%,34 ,,
64.32%,34 ,,
64.57%,34 ,,
65.68%,34 ,,
65.80%,34 ,,
66.07%,34 ,,
66.19%,34 ,,
66.36%,34 ,,
66.38%,34 ,,
66.43%,34 ,,
66.48%,34 ,,
66.50%,34 ,,
66.80%,34 ,,
70.07%,34 ,,
70.10%,34 ,,
74.07%,34 ,,
74.14%,34 ,,
75.45%,34 ,,
75.46%,34 ,,
75.78%,34 ,,
83.97%,34 ,,
84.18%,34 ,,
87.12%,34 ,,
87.14%,34 ,,
87.19%,34 ,,
39.62%,35 ,,Top Gun: Maverick (2022)
39.69%,35 ,,
39.74%,35 ,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
