word,freq_text1,freq_text2,log_likelihood,key_in
samples,1,4,3.569346944002852,Text1
matrix,1,4,3.569346944002852,Text1
disaster,1,4,3.569346944002852,Text1
costs,1,4,3.569346944002852,Text1
selfish,1,4,3.569346944002852,Text1
doing,9,300,3.531267943948203,Text1
woman,3,53,3.5279190774090416,Text1
death,0,120,3.525566370992089,Text2
working,4,88,3.5013778503261905,Text1
team,0,117,3.437426543599071,Text2
was,14,1498,3.4234551080463795,Text2
killed,0,116,3.4080466014236803,Text2
wayne,0,116,3.4080466014236803,Text2
program,2,25,3.3873908690144336,Text1
most,5,129,3.3741845281055083,Text1
both,0,114,3.34928671752141,Text2
earth,0,114,3.34928671752141,Text2
ago,0,113,3.319906775799792,Text2
no,50,2576,3.314056150917473,Text1
second,0,112,3.2905268342348086,Text2
rose,2,26,3.2657377564866894,Text1
lab,2,26,3.2657377564866894,Text1
ones,2,26,3.2657377564866894,Text1
girlfriend,2,26,3.2657377564866894,Text1
girl,0,111,3.2611468928292706,Text2
can,36,1770,3.2303433038129583,Text1
reminds,1,5,3.1960166323319537,Text1
hoskins,1,5,3.1960166323319537,Text1
marked,1,5,3.1960166323319537,Text1
torture,1,5,3.1960166323319537,Text1
describe,1,5,3.1960166323319537,Text1
link,1,5,3.1960166323319537,Text1
aquaman,1,5,3.1960166323319537,Text1
forgetting,1,5,3.1960166323319537,Text1
monsters,1,5,3.1960166323319537,Text1
testing,1,5,3.1960166323319537,Text1
cooler,1,5,3.1960166323319537,Text1
guilt,1,5,3.1960166323319537,Text1
handled,1,5,3.1960166323319537,Text1
threw,1,5,3.1960166323319537,Text1
buck,1,5,3.1960166323319537,Text1
locals,1,5,3.1960166323319537,Text1
guardian,1,5,3.1960166323319537,Text1
color,1,5,3.1960166323319537,Text1
mining,1,5,3.1960166323319537,Text1
territory,1,5,3.1960166323319537,Text1
rack,1,5,3.1960166323319537,Text1
insurance,1,5,3.1960166323319537,Text1
competition,1,5,3.1960166323319537,Text1
jurisdiction,1,5,3.1960166323319537,Text1
banks,1,5,3.1960166323319537,Text1
term,1,5,3.1960166323319537,Text1
joshua,1,5,3.1960166323319537,Text1
note,1,5,3.1960166323319537,Text1
lola,1,5,3.1960166323319537,Text1
slip,1,5,3.1960166323319537,Text1
speeders,1,5,3.1960166323319537,Text1
gonna,19,824,3.1856853047883504,Text1
anyone,0,108,3.1730070695985857,Text2
until,0,108,3.1730070695985857,Text2
